date,ACM1,ACM0
Thu Mar 11 13:44:11 2021,5.02,4.99
Thu Mar 11 13:50:13 2021,5.02,4.99
Thu Mar 11 13:56:14 2021,5.02,4.96
Thu Mar 11 14:02:16 2021,4.99,4.93
Thu Mar 11 14:08:18 2021,5.02,4.93
Thu Mar 11 14:14:20 2021,4.99,4.93
Thu Mar 11 14:20:21 2021,5.02,4.90
Thu Mar 11 14:26:23 2021,4.99,4.84
Thu Mar 11 14:32:25 2021,4.99,4.84
Thu Mar 11 14:38:27 2021,4.99,4.82
Thu Mar 11 14:44:28 2021,4.99,4.79
Thu Mar 11 14:50:30 2021,4.99,4.79
Thu Mar 11 14:56:32 2021,5.02,4.79
Thu Mar 11 15:02:34 2021,5.02,4.79
Thu Mar 11 15:08:35 2021,4.99,4.76
Thu Mar 11 15:14:37 2021,4.99,4.76
Thu Mar 11 15:20:39 2021,4.99,4.76
Thu Mar 11 15:26:41 2021,4.99,4.76
Thu Mar 11 15:32:42 2021,4.99,4.76
Thu Mar 11 15:38:44 2021,4.96,4.76
Thu Mar 11 15:44:46 2021,4.96,4.76
Thu Mar 11 15:50:48 2021,4.99,4.79
Thu Mar 11 15:56:49 2021,4.99,4.82
Thu Mar 11 16:02:51 2021,4.99,4.82
Thu Mar 11 16:08:53 2021,4.96,4.82
Thu Mar 11 16:14:54 2021,4.96,4.82
Thu Mar 11 16:20:56 2021,4.96,4.82
Thu Mar 11 16:26:58 2021,4.96,4.82
Thu Mar 11 16:33:00 2021,4.99,4.84
Thu Mar 11 16:39:01 2021,4.93,4.82
Thu Mar 11 16:45:03 2021,4.93,4.82
Thu Mar 11 16:51:05 2021,4.96,4.82
Thu Mar 11 16:57:07 2021,4.93,4.79
Thu Mar 11 17:03:08 2021,4.93,4.79
Thu Mar 11 17:09:10 2021,4.87,4.73
Thu Mar 11 17:15:12 2021,4.90,4.79
Thu Mar 11 17:21:14 2021,4.90,4.79
Thu Mar 11 17:27:15 2021,4.90,4.82
Thu Mar 11 17:33:17 2021,4.90,4.87
Thu Mar 11 17:39:19 2021,4.90,4.84
Thu Mar 11 17:45:20 2021,4.87,4.82
Thu Mar 11 17:51:22 2021,4.84,4.84
Thu Mar 11 17:57:24 2021,4.82,4.84
Thu Mar 11 18:03:26 2021,4.82,4.87
Thu Mar 11 18:09:27 2021,4.82,4.84
Thu Mar 11 18:15:29 2021,4.82,4.84
